x,y,z,a
0,0,0,0.0
0,0,20,0.0
0,0,40,0.0
0,0,60,0.0
0,0,80,0.0
0,0,100,0.0
0,0,120,0.0
0,0,140,0.0
0,0,160,0.0
0,0,180,0.0
0,0,200,0.0
0,0,220,0.0
0,0,240,0.0
0,0,260,0.0
0,0,280,0.0
0,0,300,9.327750569111338e-06
0,0,320,1.5666810233281453e-07
0,0,340,4.0230144923188184e-07
0,0,360,2.890338575222883e-07
0,0,380,4.8153020025286965e-06
0,0,400,0.0
0,0,420,0.0
0,0,440,0.0
0,0,460,1.4518089167882423e-07
0,0,480,2.046460110605741e-07
0,0,500,8.745159017601361e-08
0,0,520,0.0
0,0,540,5.649351112338812e-07
0,0,560,0.0
0,0,580,0.0
0,0,600,0.0
0,0,620,7.929982248441435e-08
0,0,640,3.1764774039027567e-07
0,0,660,2.435312626345875e-07
0,0,680,1.7841267860694878e-07
0,0,700,0.0
0,0,720,0.0
0,0,740,0.0
0,0,760,0.0
0,20,0,0.0
0,20,20,0.0
0,20,40,0.0
0,20,60,0.0
0,20,80,0.0
0,20,100,0.0
0,20,120,0.0
0,20,140,0.0
0,20,160,0.0
0,20,180,0.0
0,20,200,4.317958618420778e-07
0,20,220,0.0
0,20,240,4.20669860273007e-07
0,20,260,3.3626023266118414e-07
0,20,280,2.6158825253160345e-07
0,20,300,5.4012190413632035e-06
0,20,320,4.1457071512101685e-07
0,20,340,1.96636665911783e-06
0,20,360,1.0422316399675986e-06
0,20,380,1.8918070941326364e-06
0,20,400,4.549729863593883e-06
0,20,420,4.502172596030171e-06
0,20,440,1.418261218656642e-06
0,20,460,1.676778000876699e-06
0,20,480,4.808351578811164e-07
0,20,500,5.886987837137318e-08
0,20,520,5.377236956187481e-08
0,20,540,0.0
0,20,560,3.9925634735729615e-07
0,20,580,7.977342300400825e-07
0,20,600,8.593654893517721e-07
0,20,620,0.0
0,20,640,0.0
0,20,660,0.0
0,20,680,0.0
0,20,700,0.0
0,20,720,7.844689082444064e-11
0,20,740,4.5342858644743156e-07
0,20,760,0.0
0,40,0,0.0
0,40,20,0.0
0,40,40,0.0
0,40,60,0.0
0,40,80,0.0
0,40,100,0.0
0,40,120,0.0
0,40,140,0.0
0,40,160,0.0
0,40,180,8.302226704135658e-07
0,40,200,0.0
0,40,220,2.696845799574109e-06
0,40,240,7.323393112329955e-05
0,40,260,0.00014071417486182037
0,40,280,0.00013035916942878023
0,40,300,6.887237238915635e-05
0,40,320,0.00010952900289625857
0,40,340,0.0
0,40,360,1.7605356661926752e-07
0,40,380,5.432001988744474e-07
0,40,400,1.7971314742148811e-07
0,40,420,2.3606042271865571e-07
0,40,440,3.4075419735924107e-06
0,40,460,8.697139401002495e-07
0,40,480,8.482235868609063e-08
0,40,500,0.0
0,40,520,3.6552498713146426e-06
0,40,540,0.0
0,40,560,0.0
0,40,580,0.0
0,40,600,0.0
0,40,620,0.0
0,40,640,5.296199230792014e-09
0,40,660,9.945478897857585e-10
0,40,680,0.0
0,40,700,7.1428440833008825e-09
0,40,720,0.0
0,40,740,0.0
0,40,760,7.174793141594231e-09
0,60,0,0.0
0,60,20,0.0
0,60,40,0.0
0,60,60,0.0
0,60,80,0.0
0,60,100,0.0
0,60,120,0.0
0,60,140,0.0
0,60,160,0.0
0,60,180,0.0
0,60,200,0.0
0,60,220,2.8516533527453607e-08
0,60,240,1.4395751331632e-07
0,60,260,1.14845881094952e-06
0,60,280,5.678032598774921e-06
0,60,300,4.452706449525379e-07
0,60,320,0.0
0,60,340,3.71917931091615e-06
0,60,360,1.163869592219193e-05
0,60,380,3.598561908869421e-06
0,60,400,2.721329553686849e-08
0,60,420,8.103301755919976e-07
0,60,440,4.4914420917647e-06
0,60,460,5.94327273168481e-06
0,60,480,2.913566082262413e-06
0,60,500,5.490910856048462e-06
0,60,520,0.0
0,60,540,0.0
0,60,560,0.0
0,60,580,1.7028136342785197e-07
0,60,600,2.331424311355558e-07
0,60,620,1.515541560542922e-07
0,60,640,2.5976621554527294e-07
0,60,660,2.6110518656279383e-07
0,60,680,1.9058433028845153e-07
0,60,700,0.0
0,60,720,0.0
0,60,740,0.0
0,60,760,0.0
0,80,0,0.0
0,80,20,0.0
0,80,40,0.0
0,80,60,0.0
0,80,80,0.0
0,80,100,0.0
0,80,120,0.0
0,80,140,0.0
0,80,160,0.0
0,80,180,0.0
0,80,200,7.408872674804598e-08
0,80,220,4.239671005535335e-06
0,80,240,4.380696519370714e-06
0,80,260,5.200014089683004e-06
0,80,280,4.2995545068190625e-06
0,80,300,7.288470271738772e-06
0,80,320,5.879164892493826e-06
0,80,340,1.1980820401070475e-05
0,80,360,4.180094640790477e-06
0,80,380,7.591852654055447e-06
0,80,400,2.7819002224399144e-06
0,80,420,7.578790518666073e-06
0,80,440,0.0
0,80,460,0.0
0,80,480,0.0
0,80,500,9.913930407339731e-08
0,80,520,3.731361422627224e-07
0,80,540,0.0
0,80,560,2.346653074216343e-07
0,80,580,9.477746566361596e-07
0,80,600,0.0
0,80,620,9.531357237300729e-08
0,80,640,9.583252235335743e-07
0,80,660,8.982412847056969e-07
0,80,680,9.267995632017186e-07
0,80,700,1.5558999530343437e-06
0,80,720,1.5455387140098325e-06
0,80,740,0.0
0,80,760,0.0
0,100,0,0.0
0,100,20,0.0
0,100,40,0.0
0,100,60,0.0
0,100,80,0.0
0,100,100,0.0
0,100,120,0.0
