x,y,z,a
0,0,0,49419.414
0,0,20,40732.24
0,0,40,32983.035
0,0,60,26054.766
0,0,80,20034.498
0,0,100,14242.972
0,0,120,5397.1865
0,0,140,7320.004
0,0,160,488140.28
0,0,180,2133255.0
0,0,200,3462464.0
0,0,220,6472669.5
0,0,240,4846998.5
0,0,260,4104449.2
0,0,280,2394803.5
0,0,300,2983054.0
0,0,320,3270054.8
0,0,340,3797330.5
0,0,360,3573072.5
0,0,380,3519529.5
0,0,400,3512678.8
0,0,420,3714691.8
0,0,440,3986874.0
0,0,460,3773379.8
0,0,480,3501577.8
0,0,500,3486829.2
0,0,520,3291976.5
0,0,540,3211427.8
0,0,560,2680520.2
0,0,580,2245795.5
0,0,600,2353209.2
0,0,620,2414484.8
0,0,640,1565924.0
0,0,660,1664924.6
0,0,680,2395400.5
0,0,700,1932921.9
0,0,720,2027006.4
0,0,740,3206354.8
0,0,760,3471555.8
0,20,0,49420.5
0,20,20,40717.61
0,20,40,32983.96
0,20,60,26032.879
0,20,80,19890.24
0,20,100,14388.557
0,20,120,3591.9636
0,20,140,6800.235
0,20,160,9754.622
0,20,180,1593266.5
0,20,200,2671963.0
0,20,220,4499344.5
0,20,240,4303594.0
0,20,260,3656615.2
0,20,280,2964005.8
0,20,300,2999440.2
0,20,320,3403523.0
0,20,340,3435975.0
0,20,360,3486094.5
0,20,380,4752928.0
0,20,400,6044098.5
0,20,420,5180408.0
0,20,440,4879751.0
0,20,460,4539435.5
0,20,480,3701838.2
0,20,500,3891075.2
0,20,520,4040541.0
0,20,540,4069033.8
0,20,560,4047655.0
0,20,580,3787926.2
0,20,600,2184205.0
0,20,620,2295137.0
0,20,640,2101970.2
0,20,660,4177742.0
0,20,680,4266031.0
0,20,700,4015112.5
0,20,720,3972366.0
0,20,740,3614410.0
0,20,760,3753873.0
0,40,0,49387.72
0,40,20,40724.75
0,40,40,32983.816
0,40,60,26064.934
0,40,80,20039.195
0,40,100,14682.348
0,40,120,5015.2974
0,40,140,7029.667
0,40,160,508660.06
0,40,180,2061949.8
0,40,200,2142663.5
0,40,220,1536558.8
0,40,240,2404536.8
0,40,260,3033568.2
0,40,280,3658186.8
0,40,300,4037565.0
0,40,320,3017709.2
0,40,340,2050905.9
0,40,360,1611957.1
0,40,380,1348224.5
0,40,400,1372425.5
0,40,420,1271056.0
0,40,440,2311845.5
0,40,460,2624271.0
0,40,480,4900722.0
0,40,500,5794480.5
0,40,520,5279136.5
0,40,540,4950358.0
0,40,560,4182472.2
0,40,580,3814822.8
0,40,600,4643818.0
0,40,620,4893493.5
0,40,640,4754339.0
0,40,660,4815679.5
0,40,680,4515676.0
0,40,700,4149683.8
0,40,720,3776365.0
0,40,740,3112242.8
0,40,760,3189720.8
0,60,0,49405.09
0,60,20,40726.22
0,60,40,32984.89
0,60,60,26064.557
0,60,80,19983.842
0,60,100,14280.765
0,60,120,3409.058
0,60,140,10330.999
0,60,160,10002.714
0,60,180,2008263.4
0,60,200,2577625.8
0,60,220,2595313.2
0,60,240,2566002.0
0,60,260,3212914.2
0,60,280,2843076.2
0,60,300,2267645.2
0,60,320,1793669.9
0,60,340,1756885.1
0,60,360,1347213.9
0,60,380,1118802.2
0,60,400,1620256.5
0,60,420,1763742.2
0,60,440,1711204.4
0,60,460,1559793.4
0,60,480,2267816.5
0,60,500,2860945.0
0,60,520,2914502.0
0,60,540,2871492.0
0,60,560,2718608.8
0,60,580,2587603.0
0,60,600,2855574.8
0,60,620,3023138.8
0,60,640,3324881.5
0,60,660,2761312.8
0,60,680,2941393.0
0,60,700,3009219.8
0,60,720,3187383.8
0,60,740,3110592.0
0,60,760,2668108.5
0,80,0,49406.934
0,80,20,40723.957
0,80,40,32986.22
0,80,60,26058.693
0,80,80,19956.355
0,80,100,14670.371
0,80,120,4390.3716
0,80,140,4686.115
0,80,160,116040.76
0,80,180,2488430.0
0,80,200,3220912.0
0,80,220,2883647.5
0,80,240,2881846.5
0,80,260,2840359.2
0,80,280,2546513.5
0,80,300,2060567.5
0,80,320,2109885.2
0,80,340,2334201.0
0,80,360,2290469.8
0,80,380,2284234.8
0,80,400,2573117.5
0,80,420,2505760.5
0,80,440,2480728.8
0,80,460,2669648.5
0,80,480,2488983.0
0,80,500,2775925.2
0,80,520,2602773.5
0,80,540,2997445.0
0,80,560,3206190.0
0,80,580,3605023.8
0,80,600,3462488.8
0,80,620,3229968.2
0,80,640,2940063.8
0,80,660,2567789.5
0,80,680,2073785.6
0,80,700,1834554.5
0,80,720,2200265.0
0,80,740,2606232.0
0,80,760,1532786.5
0,100,0,49380.137
0,100,20,40685.77
0,100,40,32959.113
0,100,60,26015.248
0,100,80,20025.83
0,100,100,14493.084
0,100,120,3959.8152
0,100,140,7059.3013
0,100,160,1309108.6
0,100,180,1766257.4
0,100,200,1916777.8
0,100,220,2558312.2
0,100,240,2496512.0
0,100,260,2834074.5
0,100,280,3620231.8
0,100,300,3959383.2
0,100,320,3147687.2
