x,y,z,a
0,0,0,49413.19
0,0,20,40727.79
0,0,40,32981.402
0,0,60,26065.844
0,0,80,19998.525
0,0,100,14568.152
0,0,120,5569.2617
0,0,140,6090.1387
0,0,160,18662.18
0,0,180,1074015.5
0,0,200,2389917.5
0,0,220,2049983.2
0,0,240,2730022.8
0,0,260,2955514.5
0,0,280,2975814.2
0,0,300,2419954.8
0,0,320,2520936.5
0,0,340,1965580.2
0,0,360,2401471.8
0,0,380,2597202.0
0,0,400,2643860.2
0,0,420,2264635.5
0,0,440,2661678.0
0,0,460,3124845.0
0,0,480,3140316.5
0,0,500,3380565.5
0,0,520,3371368.5
0,0,540,3023491.8
0,0,560,2819469.2
0,0,580,2729792.5
0,0,600,2603060.8
0,0,620,2465130.0
0,0,640,2354419.8
0,0,660,2401144.2
0,0,680,2666081.2
0,0,700,2689811.0
0,0,720,2648966.8
0,0,740,2685707.5
0,0,760,4111884.2
0,20,0,49425.645
0,20,20,40722.547
0,20,40,32989.04
0,20,60,25967.791
0,20,80,19946.664
0,20,100,14198.159
0,20,120,3487.9592
0,20,140,11231.463
0,20,160,10534.115
0,20,180,1445337.1
0,20,200,1955193.9
0,20,220,2372788.5
0,20,240,2454149.2
0,20,260,2711776.2
0,20,280,3890603.0
0,20,300,3495540.2
0,20,320,3007777.0
0,20,340,2080004.9
0,20,360,1923463.9
0,20,380,2933138.0
0,20,400,3022151.2
0,20,420,3476679.2
0,20,440,3690947.2
0,20,460,3614619.2
0,20,480,3857408.2
0,20,500,3766919.5
0,20,520,3455962.8
0,20,540,3209958.5
0,20,560,3511169.2
0,20,580,3947493.8
0,20,600,3653338.2
0,20,620,3718054.2
0,20,640,3999601.5
0,20,660,2937164.8
0,20,680,2896471.5
0,20,700,2983451.8
0,20,720,3490404.0
0,20,740,4013116.0
0,20,760,3672178.0
0,40,0,49383.234
0,40,20,40715.664
0,40,40,32977.484
0,40,60,26061.87
0,40,80,20037.29
0,40,100,14721.034
0,40,120,5501.937
0,40,140,5830.214
0,40,160,848371.3
